
train results at No. of hidden layers: 3, No. of training epochs: 10, No. of training size: 64
loss: 396.278, F1: 89.793, P: 90.179, R: 89.467
loss: 294.624, F1: 92.748, P: 92.812, R: 92.708
loss: 245.576, F1: 93.798, P: 93.946, R: 93.671
loss: 219.375, F1: 94.497, P: 94.450, R: 94.561
loss: 198.558, F1: 95.045, P: 95.196, R: 94.911
loss: 184.889, F1: 95.360, P: 95.504, R: 95.232
loss: 171.792, F1: 95.683, P: 95.721, R: 95.657
loss: 164.940, F1: 95.892, P: 95.903, R: 95.894
loss: 158.713, F1: 95.943, P: 96.058, R: 95.841
loss: 155.958, F1: 96.036, P: 96.125, R: 95.960

dev results at No. of hidden layers: 3, No. of training epochs: 10, No. of training size: 64
loss: 673.384, F1: 91.845, P: 90.831, R: 92.896
loss: 599.669, F1: 92.876, P: 91.884, R: 93.900
loss: 531.361, F1: 93.369, P: 92.505, R: 94.258
loss: 541.113, F1: 93.496, P: 92.795, R: 94.217
loss: 566.764, F1: 93.635, P: 92.886, R: 94.404
loss: 553.132, F1: 93.604, P: 92.851, R: 94.378
loss: 559.393, F1: 93.661, P: 92.887, R: 94.454
loss: 584.460, F1: 93.674, P: 92.893, R: 94.475
loss: 578.125, F1: 93.726, P: 93.079, R: 94.389
loss: 579.704, F1: 93.789, P: 93.097, R: 94.499

test results at No. of hidden layers: 3, No. of training epochs: 10, No. of training size: 64
loss: 600.138, F1: 92.904, P: 92.015, R: 93.818
loss: 599.669, F1: 92.876, P: 91.884, R: 93.900
loss: 531.361, F1: 93.369, P: 92.505, R: 94.258
loss: 541.113, F1: 93.496, P: 92.795, R: 94.217
loss: 566.764, F1: 93.635, P: 92.886, R: 94.404
loss: 553.132, F1: 93.604, P: 92.851, R: 94.378
loss: 559.393, F1: 93.661, P: 92.887, R: 94.454
loss: 584.460, F1: 93.674, P: 92.893, R: 94.475
loss: 578.125, F1: 93.726, P: 93.079, R: 94.389
loss: 579.704, F1: 93.789, P: 93.097, R: 94.499

train results at No. of hidden layers: 6, No. of training epochs: 10, No. of training size: 64
loss: 314.471, F1: 91.866, P: 91.811, R: 91.958
loss: 206.865, F1: 94.463, P: 94.645, R: 94.301
loss: 162.258, F1: 95.530, P: 95.500, R: 95.577
loss: 141.286, F1: 95.931, P: 95.642, R: 96.236
loss: 110.478, F1: 96.883, P: 96.978, R: 96.797
loss: 100.603, F1: 97.076, P: 97.022, R: 97.140
loss: 84.703, F1: 97.571, P: 97.786, R: 97.367
loss: 81.796, F1: 97.609, P: 97.623, R: 97.602
loss: 75.008, F1: 97.837, P: 97.895, R: 97.785
loss: 74.473, F1: 97.829, P: 97.810, R: 97.855

dev results at No. of hidden layers: 6, No. of training epochs: 10, No. of training size: 64
loss: 512.651, F1: 93.632, P: 92.760, R: 94.533
loss: 456.985, F1: 94.710, P: 94.091, R: 95.346
loss: 474.224, F1: 94.713, P: 93.917, R: 95.532
loss: 489.074, F1: 94.826, P: 93.945, R: 95.731
loss: 506.300, F1: 95.124, P: 94.530, R: 95.732
loss: 522.108, F1: 95.175, P: 94.539, R: 95.827
loss: 544.455, F1: 95.289, P: 94.826, R: 95.764
loss: 560.596, F1: 95.217, P: 94.628, R: 95.820
loss: 571.896, F1: 95.389, P: 94.826, R: 95.965
loss: 585.238, F1: 95.360, P: 94.749, R: 95.986

test results at No. of hidden layers: 6, No. of training epochs: 10, No. of training size: 64
loss: 453.300, F1: 94.601, P: 93.879, R: 95.342
loss: 456.985, F1: 94.710, P: 94.091, R: 95.346
loss: 474.224, F1: 94.713, P: 93.917, R: 95.532
loss: 489.074, F1: 94.826, P: 93.945, R: 95.731
loss: 506.300, F1: 95.124, P: 94.530, R: 95.732
loss: 522.108, F1: 95.175, P: 94.539, R: 95.827
loss: 544.455, F1: 95.289, P: 94.826, R: 95.764
loss: 560.596, F1: 95.217, P: 94.628, R: 95.820
loss: 571.896, F1: 95.389, P: 94.826, R: 95.965
loss: 585.238, F1: 95.360, P: 94.749, R: 95.986
